Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2531,Potatoes and products,2013,2013,1000 tonnes,115654.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2531,Potatoes and products,2013,2013,1000 tonnes,20334.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2531,Potatoes and products,2013,2013,1000 tonnes,17629.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2531,Potatoes and products,2013,2013,1000 tonnes,7572.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2531,Potatoes and products,2013,2013,1000 tonnes,3499.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2531,Potatoes and products,2013,2013,1000 tonnes,5326.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2531,Potatoes and products,2013,2013,1000 tonnes,61295.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2531,Potatoes and products,2013,2013,kg,82.59,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2531,Potatoes and products,2013,2013,kcal/capita/day,149.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2531,Potatoes and products,2013,2013,g/capita/day,3.49,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2531,Potatoes and products,2013,2013,g/capita/day,0.21,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2533,Sweet potatoes,2013,2013,1000 tonnes,43.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2533,Sweet potatoes,2013,2013,1000 tonnes,152.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2533,Sweet potatoes,2013,2013,1000 tonnes,2.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
